language,id,text,file,node,lineNumber,lock,comment
ko,line:0ed9dee,Baepsae: Wonderful choice!,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,HappyEndingScene,55,68aa316e,
ko,line:0297c6b,Baepsae: I’d like you to start at 11:00 AM from tomorrow. It makes me so happy to have an employee I can truly trust!,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,HappyEndingScene,57,0644628f,
ko,line:011abfd,Baepsae: I look forward to working together for a long time!,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,HappyEndingScene,59,6222a341,
ko,line:08d51bb,This is an example of a Yarn Spinner script. Write your dialogue here!,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\NewYarnScript.yarn,NewYarnScript,3,c042cc12,
ko,line:0e73c3a,hey,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,PhoneCallScript,3,fa690b82,
ko,line:066ac60,"I placed an order, so why isn't it here? Have some professionalism.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,Call_501,7,05efca17,
ko,line:0454ce5,I've been waiting all this time........,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,Call_502,11,184e9636,
ko,line:06c0cdf,I'm hungry and annoyed. You should've said something!,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,Call_503,15,fe15fe4a,
ko,line:03b0a08,When is the delivery coming? Oh... I hope I can actually eat it next time.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,Call_504,19,8b89285a,
ko,line:0f41c12,This is really too much. I was really craving tteokbokki today.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,Call_505,23,30af7da3,
ko,line:066ae0a,"But if I order again, will you accept it?",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,Call_505,24,c1011553,
ko,line:0e37f3b,"I ordered tteokbokki because I wanted it so badly, but it's not coming…",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,Call_506,28,6e20bfb9,
ko,line:044f6cb,What happened to the tteokbokki I ordered? Did it just vanish? How could this happen?,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,Call_507,32,640877c4,
ko,line:0cad2b3,Please understand how much I want tteokbokki. Can't you just cook it and bring it now?,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,Call_508,36,e802c53a,
ko,line:0d8e12c,"Owner, please open the door. It’s nothing big, I just have something to say.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,Call_509,40,6f545674,
ko,line:07ad5c0,Owner? Hello? Owner? Are you there? Hello??,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,Call_509,41,009676f5,
ko,line:00bf10b,"It’s been such a hard day, and I wanted to end it on a happy note. What a shame.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,Call_510,45,7c3f5d0d,
ko,line:00a36bd,The wrong item arrived... I'd like a refund…,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,Call_601,51,192546e8,
ko,line:0663bb9,This isn't what I ordered. What should I do? Could you send me the correct one? Well??,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,Call_602,55,95240a9c,
ko,line:093285a,This isn't what I ordered... Please double-check from now on.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,Call_603,59,1ab48808,
ko,line:04e3f70,I'm hungry and mad. I can't even eat this.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,Call_604,63,21dccb3e,
ko,line:04396ef,I was so looking forward to that specific dish. Why is this happening to me? Sigh,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,Call_605,67,c013dabd,
ko,line:089bd84,Refund.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,Call_606,71,1402546e,
ko,line:01372c6,"The wrong order came, what should I do? I'm eating it for now, though.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,Call_607,75,2f33d157,
ko,line:073ef2d,"This isn't what I ordered, sir. I want my actual order. What should I do with this food?",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,Call_608,79,8412a0d3,
ko,line:07cdcbd,Owner... I think my delivery got mixed up... T_T,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,Call_609,83,5c459153,
ko,line:0b11e7a,"Seriously, it's been wrong every time I order! I've ordered more than 3 times now, so why do you keep bringing the wrong thing?",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,Call_610,87,7056a0b8,
ko,line:04ca0c9,Baepsae: 한 달 동안 고생했어!,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,NormalEnding,95,a43b5e4f,
ko,line:0c318d8,Baepsae: ㅇㅇ,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\PhoneCallScript.yarn,NormalEnding,96,27436851,
ko,line:096391d,Baepsae: 이건 테스트 스크립트에요,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TestYarnScript.yarn,TestYarnScript,4,ce71bf5e,
ko,line:00a5f4a,Baepsae: 잘 생각해봅시다,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TestYarnScript.yarn,TestYarnScript,5,b1479ec6,
ko,line:0376e9a,Baepsae: 사실 난 잘 모르겠고,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TestYarnScript.yarn,TestYarnScript,7,0ca912f3,
ko,line:030a6ab,Baepsae: 골라라,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TestYarnScript.yarn,TestYarnScript,8,328cee55,Line metadata: lastline
ko,line:086e060,1. 원해,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TestYarnScript.yarn,TestYarnScript,9,9d8811cd,
ko,line:0f8b81d,2. 알바냐,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TestYarnScript.yarn,TestYarnScript,10,4f30fb3e,
ko,line:070d7a6,Baepsae: 테스트 코드,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TestYarnScript.yarn,TestYarnScript,11,b8b647d0,
ko,line:0861c34,Baepsae: 1,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TestYarnScript.yarn,TestYarnScript,12,be8011d9,
ko,line:01928b3,Baepsae: 2,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TestYarnScript.yarn,TestYarnScript,13,e17583c4,
ko,line:085bbbc,Baepsae: 3,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TestYarnScript.yarn,TestYarnScript,14,1db6721b,
ko,line:0858aa7,Baepsae: 4,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TestYarnScript.yarn,TestYarnScript,15,16ceb6fb,
ko,line:04ac2fa,Baepsae: 5,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TestYarnScript.yarn,TestYarnScript,16,7866694e,
ko,line:013596b,Baepsae: 6,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TestYarnScript.yarn,TestYarnScript,18,02401505,
ko,line:02c515b,Baepsae: 7,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TestYarnScript.yarn,TestYarnScript,19,45878180,
ko,line:003d19c,Baepsae: 77,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TestYarnScript.yarn,TestYarnScript,20,8fe652f0,
ko,line:012e70f,Baepsae: 8,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TestYarnScript.yarn,TestYarnScript,21,f62b121a,
ko,line:04a348a,Baepsae: 10,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TestYarnScript.yarn,TestYarnScript,22,d10eab89,
ko,line:0740499,Baepsae: 9,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TestYarnScript.yarn,TestYarnScript,23,476def63,
ko,line:0ea4a00,Baepsae: 가가가ㅏ가가각가ㅏ가가가가가가ㅏ각가가가가ㅏ각가ㅏ가각가가ㅏ가가가가가ㅏ가가가가ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TestYarnScript.yarn,TestYarnScript,24,3a825ada,
ko,line:084f975,Baepsae: Tomorrow's bonus ingredients will be... {0} and {1}!,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TestYarnScript.yarn,TomorrowBonusLine,35,beab46c3,
ko,line:0659c11,"Baepsae: Sadly, there's no bonus tomorrow!",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TestYarnScript.yarn,TomorrowBonusLine,38,d167b93c,
ko,line:02cde16,System: Skip Baepsae's tutorial and proceed?,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,TutorialSkip,14,7ee23eed,Line metadata: lastline
ko,line:0c8a01a,Yes,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,TutorialSkip,15,2eb73fba,
ko,line:0f8e179,No,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,TutorialSkip,19,4c490f1c,
ko,line:051c2d1,Me: I found a good part-time job in this gloomy time of high unemployment.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,28,6b9c914a,
ko,line:0ee2c17,"Me: It's close to my house, and most importantly it pays better than other part-time jobs. If I do well for two weeks, I can become a full time employee.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,29,6048f7cf,
ko,line:0aa06fe,"Me: I've got to pass this, no matter what.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,30,3f9c34aa,
ko,line:09fbee6,"Me: Hello, I'm here for the part time job interview.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,35,b59e9927,
ko,line:0fe3937,"??: Hello, come in.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,37,015906fb,
ko,line:019628e,Baepsae: Nice to meet you!,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,39,dc9bb1c3,
ko,line:06a5f7d,Me: uh...?,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,41,8c7fe33a,
ko,line:0b58de6,Me: It's a bird…,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,42,d87252ee,
ko,line:0f8ac1c,Baepsae: You are the 1st person who hasn't been surprised by my appearance.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,45,2a01da69,
ko,line:0a8f407,Me: haha,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,47,2fab7338,
ko,line:0a4d0eb,"Baepsae: Since I was little, I have loved Tteokbokki.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,49,ffab8894,
ko,line:0e9bcc8,Baepsae: So I saved up a lot of money and opened a Tteokbokki restaurant. But?,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,50,ab7e6f1a,
ko,line:02f3f6f,"Baepsae: As you can see, It's hard for a bird to cook.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,52,57248e8d,
ko,line:0b2d890,"Baepsae: So, I am looking for a part-time worker to cook in my place.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,53,b82816c3,
ko,line:0be166b,"Me: Oh, I see.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,55,61a75757,
ko,line:0d21a96,Baepsae: Have you ever done a similar part-time job before?,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,57,9269a302,
ko,line:0680986,"Me: Yes, It's not Tteokbokki but I worked at a neighborhood restaurant for 5 months.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,59,11a51e3c,
ko,line:0f4b98b,Baepsae: Great!,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,61,a1351b2f,
ko,line:0f2c857,Baepsae: Then let me explain what you need to do next.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,62,ec1d196b,
ko,line:0847b01,"Baepsae: If you ran this restaurant well for 2 weeks, you could be a full time worker as you know.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,63,2cefe336,
ko,line:0e0b111,Baepsae: Your performance will be judged by the sales over 2 weeks.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,64,8cafe2f0,
ko,line:0486560,Baepsae: You seem really nice. I hope we can manage the store successfully together.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,65,de171ba6,
ko,line:03ae604,Me: Yes. I'll do my best.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,67,e2a6078b,
ko,line:0174593,"Baepsae: Good!, we're delivery-only, so there's no need to meet customers directly.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,69,791ac41e,
ko,line:085ebe7,"Baepsae: Right now, we have 2 menu items : Gunja Tteokbokki and Spicy Gunja Tteokbokki",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,70,b02146d3,
ko,line:0008bb6,Baepsae: We just got an order.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,73,0d459788,
ko,line:029baa3,Baepsae: shall we try to make it?,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,74,0f1d271a,
ko,line:008d823,"Baepsae: Press the receipt, it shows you what ingredients to add.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,75,87bba252,
ko,line:0c6d479,"Baepsae: After that, add the ingredients and let it boil. Easy, isn't it?",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,82,b44c8ae1,
ko,line:0c7a753,"Baepsae: First, can you put <b>Rice Cake and Fish Cake</b> twice, <b>Green Onions and Cabbage</b> once in the pan.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,88,3d17c968,
ko,line:05d7cc6,Baepsae: Then put <b>Gunja Sauce</b> in the pan.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,92,9b54748e,
ko,line:0695b07,Baepsae: It is the special sauce that I made.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,93,be57e9d5,
ko,line:041bf30,"Baepsae: After you put everything in, turn up the heat.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,98,ea6087e3,
ko,line:03e8d20,Baepsae: Turn on the gas stove.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,99,a7876df7,
ko,line:0dee3d9,Baepsae: Stir well so it doesn't burn. that's the way of cooking.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,103,79433a6d,
ko,line:098b449,"Baepsae: After cooking put it on <b>packing table </b>, I will pack it.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,107,329d6591,
ko,line:04eb11f,Baepsae: You need to attach <b>receipt </b> to the packed food so the delivery driver can deliver it.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,111,497eabef,
ko,line:0d118bf,Baepsae: Put the receipt on it.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,112,be97566b,
ko,line:087e2fd,Baepsae: Good job.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,117,a064120f,
ko,line:0ffc625,"Baepsae: As soon as the delivery goes out, the earnings appear in <b>the account balance</b>.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,120,8cc75d50,
ko,line:01b5c3f,"Baepsae: We sometimes get many orders at once, so make sure to double-check the receipts.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,124,ddb2fbd0,
ko,line:0cffcc1,Baepsae: You can throw away Tteokbokki and receipts by dragging them to the trash bin or just right-clicking them!,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,125,58f8b6b4,
ko,line:05216dd,"Baepsae: If you cook it wrong or don't have the ingredients, don't force it. Just throw it away.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,126,89443263,
ko,line:06a6564,"Baepsae: Now, let me show you how to close up for the day.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,128,1048ca3c,
ko,line:0878070,"Baepsae: Normally we can't close yet, but let's do a special early closing for today.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,129,b416b935,
ko,line:01a14d4,Baepsae: Please press the <b>'End Day'</b> button.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,130,5ff77c9e,
ko,line:0e3a79f,Baepsae: I'll handle the closing on the computer.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,137,760e257a,
ko,line:0975bf9,"Baepsae: In settlement, you can check today's receipts and see which orders succeeded<b>or failed</b>.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,138,2a1ad32d,
ko,line:0b5ee2e,Baepsae: The successful and failed orders from earlier are shown here. Did you check them?,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,141,8235fbb5,
ko,line:0182f6a,Baepsae: You can also check how much tax was deducted.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,145,9c013dd8,
ko,line:01cefef,"Baepsae: Now, shall we pay taxes and go buy some ingredients? Press the 'Pay Tax' button.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,148,44a08b9d,
ko,line:070e286,Baepsae: And you can use the money you earned today to buy more ingredients.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,154,67ae1fc2,
ko,line:03a15be,Baepsae: The ingredients we ordered will arrive tomorrow.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\TutorialScript.yarn,Tutorial,155,527a36dd,
